Observed,Predicted,Intercept,C1_AOD,C2_Sta_Te,C3_Sta_Hu,C4_Sta_Ai,C5_Sta_Wi,C6_Sta_Wi,C7_Sta_ND,Residual,监测点编码,监测点名称,城市,X,Y,Timestamp,Time,PM2_5_12,PM2_5_AV,PM2_5_ACCU
85.0000000000,73.7960248561,20.7416907464,47.1790205509,-15.3280361854,-15.8466590792,9.9404905286,19.7080593063,-0.6588946378,-3.1246680701,11.2039751439,1223A,滨江,杭州,120.21100000000,30.21000000000,610,140711,69,85,85
93.0000000000,91.8734985069,21.8962061335,49.1495350065,-15.9656528381,-16.5442557287,7.4569792960,18.1447423284,-1.6530228907,-1.0701961869,1.1265014931,1226A,下沙,杭州,120.34800000000,30.30580000000,610,0,87,93,93
64.0000000000,65.6870369207,22.3195977692,46.3896364072,-15.5657915713,-16.5112585534,10.2960522897,20.0434563300,-0.8433940556,-4.4056540342,-1.6870369207,1227A,卧龙桥,杭州,120.12700000000,30.24560000000,610,0,60,64,64
70.0000000000,78.9327638529,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,-8.9327638529,1228A,浙江农大,杭州,120.19000000000,30.26920000000,610,0,59,70,70
71.0000000000,74.6409453187,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,-3.6409453187,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,610,0,58,71,71
100.0000000000,94.5562485190,25.4444205591,49.5333250983,-16.1873511587,-18.2306791501,4.7855763346,18.2924119238,-2.0448565970,-2.0711822951,5.4437514810,1231A,临平镇,杭州,120.30100000000,30.41830000000,610,0,101,100,100
76.0000000000,81.0716765308,19.5382745316,47.6639420161,-15.6440318628,-15.2945793174,10.2307314919,19.5787572680,-0.6449911790,-2.1067136462,-5.0716765308,1232A,城厢镇,杭州,120.27000000000,30.18190000000,610,0,75,76,76
62.0000000000,65.0558989386,20.7109168608,45.6407813333,-16.1243260210,-15.6313305073,12.6457847654,21.5158093192,-0.7131903337,-4.8568699721,-3.0558989386,1233A,云栖,杭州,120.08800000000,30.18080000000,610,0,57,62,62
59.0000000000,50.4460039773,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,8.5539960227,2010A,市政府,临安,119.71830000000,30.23660000000,610,0,61,59,59
57.0000000000,55.5430700931,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,1.4569299069,2011A,四中,临安,119.69420000000,30.23110000000,610,0,67,57,57
33.0000000000,32.8940042158,20.7416907464,47.1790205509,-15.3280361854,-15.8466590792,9.9404905286,19.7080593063,-0.6588946378,-3.1246680701,0.1059957842,1223A,滨江,杭州,120.21100000000,30.21000000000,628,140729,25,33,33
29.0000000000,32.4029370962,23.7853702796,45.7467534390,-16.2946104432,-17.0836270373,10.8910308680,20.4210777339,-1.2729440353,-5.2938076244,-3.4029370962,1224A,西溪,杭州,120.06300000000,30.27470000000,628,0,22,29,29
27.0000000000,25.0242139177,22.3195977692,46.3896364072,-15.5657915713,-16.5112585534,10.2960522897,20.0434563300,-0.8433940556,-4.4056540342,1.9757860823,1227A,卧龙桥,杭州,120.12700000000,30.24560000000,628,0,25,27,27
28.0000000000,36.8491833205,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,-8.8491833205,1228A,浙江农大,杭州,120.19000000000,30.26920000000,628,0,22,28,28
30.0000000000,38.4830000963,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,-8.4830000963,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,628,0,22,30,30
34.0000000000,44.1097342691,24.3903395633,46.6462477298,-15.7408519921,-17.5410994078,8.8814404823,19.4080366968,-1.2096792984,-4.5651476842,-10.1097342691,1230A,和睦小学,杭州,120.12000000000,30.31190000000,628,0,27,34,34
23.0000000000,31.7529627489,20.7109168608,45.6407813333,-16.1243260210,-15.6313305073,12.6457847654,21.5158093192,-0.7131903337,-4.8568699721,-8.7529627489,1233A,云栖,杭州,120.08800000000,30.18080000000,628,0,16,23,23
26.0000000000,30.4012571843,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,-4.4012571843,2010A,市政府,临安,119.71830000000,30.23660000000,628,0,23,26,26
26.0000000000,26.9097876375,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,-0.9097876375,2011A,四中,临安,119.69420000000,30.23110000000,628,0,29,26,26
23.0000000000,30.3070496469,19.8827050922,43.9587895596,-19.3378352368,-15.9570900557,19.3007039058,25.8857437541,-2.5627061562,-6.3619209913,-7.3070496469,2012A,监测站,富阳,119.95400000000,30.05400000000,628,0,16,23,23
37.0000000000,23.0977575351,21.8962061335,49.1495350065,-15.9656528381,-16.5442557287,7.4569792960,18.1447423284,-1.6530228907,-1.0701961869,13.9022424649,1226A,下沙,杭州,120.34800000000,30.30580000000,633,0,26,45,37
31.0000000000,20.1432817320,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,10.8567182680,1228A,浙江农大,杭州,120.19000000000,30.26920000000,633,0,17,33,31
34.0000000000,21.3185711690,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,12.6814288310,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,633,0,19,38,34
44.0000000000,29.1588806099,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,14.8411193901,1228A,浙江农大,杭州,120.19000000000,30.26920000000,634,0,39,60,44
50.0000000000,36.0474198684,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,13.9525801316,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,634,0,49,65,50
37.0000000000,45.6166750668,20.7416907464,47.1790205509,-15.3280361854,-15.8466590792,9.9404905286,19.7080593063,-0.6588946378,-3.1246680701,-8.6166750668,1223A,滨江,杭州,120.21100000000,30.21000000000,1000,150805,35,37,37
39.0000000000,45.6153591359,23.7853702796,45.7467534390,-16.2946104432,-17.0836270373,10.8910308680,20.4210777339,-1.2729440353,-5.2938076244,-6.6153591359,1224A,西溪,杭州,120.06300000000,30.27470000000,1000,0,39,39,39
47.0000000000,50.7487942590,21.8962061335,49.1495350065,-15.9656528381,-16.5442557287,7.4569792960,18.1447423284,-1.6530228907,-1.0701961869,-3.7487942590,1226A,下沙,杭州,120.34800000000,30.30580000000,1000,0,48,47,47
39.0000000000,20.9689667968,22.3195977692,46.3896364072,-15.5657915713,-16.5112585534,10.2960522897,20.0434563300,-0.8433940556,-4.4056540342,18.0310332032,1227A,卧龙桥,杭州,120.12700000000,30.24560000000,1000,0,35,39,39
36.0000000000,44.0453744666,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,-8.0453744666,1228A,浙江农大,杭州,120.19000000000,30.26920000000,1000,0,33,36,36
39.0000000000,37.8725187766,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,1.1274812234,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,1000,0,33,39,39
49.0000000000,46.7297867906,24.3903395633,46.6462477298,-15.7408519921,-17.5410994078,8.8814404823,19.4080366968,-1.2096792984,-4.5651476842,2.2702132094,1230A,和睦小学,杭州,120.12000000000,30.31190000000,1000,0,55,49,49
45.0000000000,47.6644544218,25.4444205591,49.5333250983,-16.1873511587,-18.2306791501,4.7855763346,18.2924119238,-2.0448565970,-2.0711822951,-2.6644544218,1231A,临平镇,杭州,120.30100000000,30.41830000000,1000,0,43,45,45
41.0000000000,45.2696283299,19.5382745316,47.6639420161,-15.6440318628,-15.2945793174,10.2307314919,19.5787572680,-0.6449911790,-2.1067136462,-4.2696283299,1232A,城厢镇,杭州,120.27000000000,30.18190000000,1000,0,43,41,41
30.0000000000,36.7414858058,20.7109168608,45.6407813333,-16.1243260210,-15.6313305073,12.6457847654,21.5158093192,-0.7131903337,-4.8568699721,-6.7414858058,1233A,云栖,杭州,120.08800000000,30.18080000000,1000,0,28,30,30
24.0000000000,32.0424096787,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,-8.0424096787,2010A,市政府,临安,119.71830000000,30.23660000000,1000,0,17,24,24
23.0000000000,31.8441505906,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,-8.8441505906,2011A,四中,临安,119.69420000000,30.23110000000,1000,0,29,23,23
45.0000000000,44.0430500236,23.7853702796,45.7467534390,-16.2946104432,-17.0836270373,10.8910308680,20.4210777339,-1.2729440353,-5.2938076244,0.9569499764,1224A,西溪,杭州,120.06300000000,30.27470000000,1001,0,49,45,45
38.0000000000,46.4961766899,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,-8.4961766899,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,1001,0,45,38,38
49.0000000000,56.1500919012,24.3903395633,46.6462477298,-15.7408519921,-17.5410994078,8.8814404823,19.4080366968,-1.2096792984,-4.5651476842,-7.1500919012,1230A,和睦小学,杭州,120.12000000000,30.31190000000,1001,0,59,49,49
37.0000000000,49.6962684038,25.4444205591,49.5333250983,-16.1873511587,-18.2306791501,4.7855763346,18.2924119238,-2.0448565970,-2.0711822951,-12.6962684038,1231A,临平镇,杭州,120.30100000000,30.41830000000,1001,0,48,37,37
36.0000000000,29.6662344387,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,6.3337655613,2010A,市政府,临安,119.71830000000,30.23660000000,1001,0,33,36,36
34.0000000000,31.1700769736,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,2.8299230264,2011A,四中,临安,119.69420000000,30.23110000000,1001,0,36,34,34
54.0000000000,47.9295846311,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,6.0704153689,2010A,市政府,临安,119.71830000000,30.23660000000,1053,0,53,50,54
49.0000000000,50.9769888759,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,-1.9769888759,2011A,四中,临安,119.69420000000,30.23110000000,1053,0,50,45,49
40.0000000000,38.9699851252,23.7853702796,45.7467534390,-16.2946104432,-17.0836270373,10.8910308680,20.4210777339,-1.2729440353,-5.2938076244,1.0300148748,1224A,西溪,杭州,120.06300000000,30.27470000000,1354,0,31,44,40
43.0000000000,44.6559340935,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,-1.6559340935,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,1354,0,38,53,43
39.0000000000,51.9078198427,24.3903395633,46.6462477298,-15.7408519921,-17.5410994078,8.8814404823,19.4080366968,-1.2096792984,-4.5651476842,-12.9078198427,1230A,和睦小学,杭州,120.12000000000,30.31190000000,1354,0,36,43,39
41.0000000000,44.4346810322,25.4444205591,49.5333250983,-16.1873511587,-18.2306791501,4.7855763346,18.2924119238,-2.0448565970,-2.0711822951,-3.4346810322,1231A,临平镇,杭州,120.30100000000,30.41830000000,1354,0,34,42,41
42.0000000000,50.2999798404,19.5382745316,47.6639420161,-15.6440318628,-15.2945793174,10.2307314919,19.5787572680,-0.6449911790,-2.1067136462,-8.2999798404,1232A,城厢镇,杭州,120.27000000000,30.18190000000,1354,0,41,43,42
32.0000000000,33.6055245287,20.7109168608,45.6407813333,-16.1243260210,-15.6313305073,12.6457847654,21.5158093192,-0.7131903337,-4.8568699721,-1.6055245287,1233A,云栖,杭州,120.08800000000,30.18080000000,1354,0,30,40,32
28.0000000000,28.1053833103,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,-0.1053833103,2010A,市政府,临安,119.71830000000,30.23660000000,1354,0,27,32,28
32.0000000000,26.1803622170,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,5.8196377830,2011A,四中,临安,119.69420000000,30.23110000000,1354,0,34,28,32
39.0000000000,33.8517534107,19.8827050922,43.9587895596,-19.3378352368,-15.9570900557,19.3007039058,25.8857437541,-2.5627061562,-6.3619209913,5.1482465893,2012A,监测站,富阳,119.95400000000,30.05400000000,1354,0,40,34,39
37.0000000000,33.7926464332,20.0442974708,43.8912809823,-19.5698052716,-16.1108044806,19.6533176368,26.0608366102,-2.7888672776,-6.4574932108,3.2073535668,2013A,富春二小,富阳,119.94600000000,30.04900000000,1354,0,40,34,37
57.0000000000,39.8084451253,23.7853702796,45.7467534390,-16.2946104432,-17.0836270373,10.8910308680,20.4210777339,-1.2729440353,-5.2938076244,17.1915548747,1224A,西溪,杭州,120.06300000000,30.27470000000,1358,0,51,50,57
54.0000000000,50.5874948854,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,3.4125051146,1228A,浙江农大,杭州,120.19000000000,30.26920000000,1358,0,55,49,54
64.0000000000,56.5889959072,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,7.4110040928,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,1358,0,66,58,64
59.0000000000,56.4273092422,24.3903395633,46.6462477298,-15.7408519921,-17.5410994078,8.8814404823,19.4080366968,-1.2096792984,-4.5651476842,2.5726907578,1230A,和睦小学,杭州,120.12000000000,30.31190000000,1358,0,53,55,59
58.0000000000,56.7853460611,25.4444205591,49.5333250983,-16.1873511587,-18.2306791501,4.7855763346,18.2924119238,-2.0448565970,-2.0711822951,1.2146539389,1231A,临平镇,杭州,120.30100000000,30.41830000000,1358,0,70,62,58
54.0000000000,59.4724949961,19.5382745316,47.6639420161,-15.6440318628,-15.2945793174,10.2307314919,19.5787572680,-0.6449911790,-2.1067136462,-5.4724949961,1232A,城厢镇,杭州,120.27000000000,30.18190000000,1358,0,54,47,54
55.0000000000,44.4329309166,20.7109168608,45.6407813333,-16.1243260210,-15.6313305073,12.6457847654,21.5158093192,-0.7131903337,-4.8568699721,10.5670690834,1233A,云栖,杭州,120.08800000000,30.18080000000,1358,0,52,41,55
59.0000000000,54.7830635583,-8.8613178903,49.6766980179,-17.9396937489,-9.4753287730,34.5669679137,16.0338133682,5.2067355089,8.8326685225,4.2169364417,1247A,城东开发委,绍兴,120.60500000000,29.99190000000,1358,0,54,0,59
46.0000000000,49.8056732486,20.0442974708,43.8912809823,-19.5698052716,-16.1108044806,19.6533176368,26.0608366102,-2.7888672776,-6.4574932108,-3.8056732486,2013A,富春二小,富阳,119.94600000000,30.04900000000,1358,0,41,37,46
31.0000000000,30.2234410978,20.7416907464,47.1790205509,-15.3280361854,-15.8466590792,9.9404905286,19.7080593063,-0.6588946378,-3.1246680701,0.7765589022,1223A,滨江,杭州,120.21100000000,30.21000000000,1380,160819,33,31,31
31.0000000000,38.9931957808,23.7853702796,45.7467534390,-16.2946104432,-17.0836270373,10.8910308680,20.4210777339,-1.2729440353,-5.2938076244,-7.9931957808,1224A,西溪,杭州,120.06300000000,30.27470000000,1380,0,23,25,31
28.0000000000,32.8345248109,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,-4.8345248109,1228A,浙江农大,杭州,120.19000000000,30.26920000000,1380,0,27,28,28
38.0000000000,34.1153872132,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,3.8846127868,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,1380,0,38,35,38
33.0000000000,38.1677660171,24.3903395633,46.6462477298,-15.7408519921,-17.5410994078,8.8814404823,19.4080366968,-1.2096792984,-4.5651476842,-5.1677660171,1230A,和睦小学,杭州,120.12000000000,30.31190000000,1380,0,30,31,33
36.0000000000,40.3026264855,25.4444205591,49.5333250983,-16.1873511587,-18.2306791501,4.7855763346,18.2924119238,-2.0448565970,-2.0711822951,-4.3026264855,1231A,临平镇,杭州,120.30100000000,30.41830000000,1380,0,33,27,36
29.0000000000,33.6638864283,19.5382745316,47.6639420161,-15.6440318628,-15.2945793174,10.2307314919,19.5787572680,-0.6449911790,-2.1067136462,-4.6638864283,1232A,城厢镇,杭州,120.27000000000,30.18190000000,1380,0,33,31,29
36.0000000000,27.7297860093,20.7109168608,45.6407813333,-16.1243260210,-15.6313305073,12.6457847654,21.5158093192,-0.7131903337,-4.8568699721,8.2702139907,1233A,云栖,杭州,120.08800000000,30.18080000000,1380,0,25,24,36
21.0000000000,21.2947851015,-8.8613178903,49.6766980179,-17.9396937489,-9.4753287730,34.5669679137,16.0338133682,5.2067355089,8.8326685225,-0.2947851015,1247A,城东开发委,绍兴,120.60500000000,29.99190000000,1380,0,24,27,21
23.0000000000,21.8027679104,-2.6117097016,49.3735999446,-18.4833481319,-10.3847887626,29.5808724344,16.6963349422,3.4533887994,7.2601128440,1.1972320896,1248A,市环保站,绍兴,120.57600000000,30.00700000000,1380,0,0,0,23
32.0000000000,30.3572047580,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,1.6427952420,2010A,市政府,临安,119.71830000000,30.23660000000,1380,0,20,24,32
19.0000000000,29.0356963676,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,-10.0356963676,2011A,四中,临安,119.69420000000,30.23110000000,1380,0,23,25,19
22.0000000000,38.2417725669,25.4444205591,49.5333250983,-16.1873511587,-18.2306791501,4.7855763346,18.2924119238,-2.0448565970,-2.0711822951,-16.2417725669,1231A,临平镇,杭州,120.30100000000,30.41830000000,1386,0,19,23,22
29.0000000000,53.0245676507,19.5382745316,47.6639420161,-15.6440318628,-15.2945793174,10.2307314919,19.5787572680,-0.6449911790,-2.1067136462,-24.0245676507,1232A,城厢镇,杭州,120.27000000000,30.18190000000,1386,0,25,25,29
24.0000000000,39.2304578404,-0.4255948786,49.6691597020,-18.5894540544,-10.1960837397,27.6134114879,15.6630858352,1.9488992035,7.2709037096,-15.2304578404,1246A,袍江站,绍兴,120.59800000000,30.09110000000,1386,0,25,26,24
33.0000000000,39.2700949309,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,-6.2700949309,2010A,市政府,临安,119.71830000000,30.23660000000,1386,0,26,32,33
36.0000000000,32.9173227208,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,3.0826772792,2011A,四中,临安,119.69420000000,30.23110000000,1386,0,36,35,36
43.0000000000,46.2670305719,20.7416907464,47.1790205509,-15.3280361854,-15.8466590792,9.9404905286,19.7080593063,-0.6588946378,-3.1246680701,-3.2670305719,1223A,滨江,杭州,120.21100000000,30.21000000000,1394,160902,46,42,43
43.0000000000,44.1305006367,23.7853702796,45.7467534390,-16.2946104432,-17.0836270373,10.8910308680,20.4210777339,-1.2729440353,-5.2938076244,-1.1305006367,1224A,西溪,杭州,120.06300000000,30.27470000000,1394,0,56,40,43
37.0000000000,48.8341682377,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,-11.8341682377,1228A,浙江农大,杭州,120.19000000000,30.26920000000,1394,0,43,36,37
54.0000000000,49.2293997634,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,4.7706002366,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,1394,0,62,45,54
53.0000000000,53.0330943197,24.3903395633,46.6462477298,-15.7408519921,-17.5410994078,8.8814404823,19.4080366968,-1.2096792984,-4.5651476842,-0.0330943197,1230A,和睦小学,杭州,120.12000000000,30.31190000000,1394,0,58,43,53
48.0000000000,51.2822267229,25.4444205591,49.5333250983,-16.1873511587,-18.2306791501,4.7855763346,18.2924119238,-2.0448565970,-2.0711822951,-3.2822267229,1231A,临平镇,杭州,120.30100000000,30.41830000000,1394,0,0,41,48
32.0000000000,45.6096078509,19.5382745316,47.6639420161,-15.6440318628,-15.2945793174,10.2307314919,19.5787572680,-0.6449911790,-2.1067136462,-13.6096078509,1232A,城厢镇,杭州,120.27000000000,30.18190000000,1394,0,43,40,32
37.0000000000,50.3170712394,20.7109168608,45.6407813333,-16.1243260210,-15.6313305073,12.6457847654,21.5158093192,-0.7131903337,-4.8568699721,-13.3170712394,1233A,云栖,杭州,120.08800000000,30.18080000000,1394,0,46,33,37
45.0000000000,44.9024173106,-8.8613178903,49.6766980179,-17.9396937489,-9.4753287730,34.5669679137,16.0338133682,5.2067355089,8.8326685225,0.0975826894,1247A,城东开发委,绍兴,120.60500000000,29.99190000000,1394,0,61,48,45
45.0000000000,41.0395863921,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,3.9604136079,2010A,市政府,临安,119.71830000000,30.23660000000,1394,0,39,44,45
42.0000000000,39.9255904279,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,2.0744095721,2011A,四中,临安,119.69420000000,30.23110000000,1394,0,42,42,42
83.0000000000,73.6907051153,20.7416907464,47.1790205509,-15.3280361854,-15.8466590792,9.9404905286,19.7080593063,-0.6588946378,-3.1246680701,9.3092948847,1223A,滨江,杭州,120.21100000000,30.21000000000,1417,160925,80,62,83
64.0000000000,68.2128495396,23.7853702796,45.7467534390,-16.2946104432,-17.0836270373,10.8910308680,20.4210777339,-1.2729440353,-5.2938076244,-4.2128495396,1224A,西溪,杭州,120.06300000000,30.27470000000,1417,0,58,48,64
74.0000000000,72.2715239462,22.3195977692,46.3896364072,-15.5657915713,-16.5112585534,10.2960522897,20.0434563300,-0.8433940556,-4.4056540342,1.7284760538,1227A,卧龙桥,杭州,120.12700000000,30.24560000000,1417,0,91,59,74
65.0000000000,56.8515399209,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,8.1484600791,1228A,浙江农大,杭州,120.19000000000,30.26920000000,1417,0,67,47,65
91.0000000000,72.0698303495,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,18.9301696505,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,1417,0,117,64,91
75.0000000000,75.8764960026,24.3903395633,46.6462477298,-15.7408519921,-17.5410994078,8.8814404823,19.4080366968,-1.2096792984,-4.5651476842,-0.8764960026,1230A,和睦小学,杭州,120.12000000000,30.31190000000,1417,0,84,57,75
91.0000000000,72.9992806041,25.4444205591,49.5333250983,-16.1873511587,-18.2306791501,4.7855763346,18.2924119238,-2.0448565970,-2.0711822951,18.0007193959,1231A,临平镇,杭州,120.30100000000,30.41830000000,1417,0,71,50,91
96.0000000000,80.2991175753,19.5382745316,47.6639420161,-15.6440318628,-15.2945793174,10.2307314919,19.5787572680,-0.6449911790,-2.1067136462,15.7008824247,1232A,城厢镇,杭州,120.27000000000,30.18190000000,1417,0,93,59,96
43.0000000000,37.3773400595,-8.8613178903,49.6766980179,-17.9396937489,-9.4753287730,34.5669679137,16.0338133682,5.2067355089,8.8326685225,5.6226599405,1247A,城东开发委,绍兴,120.60500000000,29.99190000000,1417,0,47,48,43
60.0000000000,61.0337732080,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,-1.0337732080,2010A,市政府,临安,119.71830000000,30.23660000000,1417,0,42,56,60
66.0000000000,56.1911325993,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,9.8088674007,2011A,四中,临安,119.69420000000,30.23110000000,1417,0,51,60,66
76.0000000000,65.3477345145,19.8827050922,43.9587895596,-19.3378352368,-15.9570900557,19.3007039058,25.8857437541,-2.5627061562,-6.3619209913,10.6522654855,2012A,监测站,富阳,119.95400000000,30.05400000000,1417,0,84,60,76
83.0000000000,69.1362050226,20.0442974708,43.8912809823,-19.5698052716,-16.1108044806,19.6533176368,26.0608366102,-2.7888672776,-6.4574932108,13.8637949774,2013A,富春二小,富阳,119.94600000000,30.04900000000,1417,0,87,65,83
